FID,Filename,Path,Row,Date,Shape_Leng,Shape_Area
0,p018_r045_l7_20010417,018,045,20010417,2.514023565250000,0.258082624046000
1,p018_r046_l7_20010417,018,046,20010417,3.839867681540000,0.623497576867000
2,p019_r045_l7_20000421,019,045,20000421,6.008174257170000,1.176208851810000
3,p019_r046_l7_20000421,019,046,20000421,5.824351715350000,1.472359621930000
4,p020_r045_l7_20001106,020,045,20001106,7.423060108760000,1.349403617530000
5,p020_r046_l7_20001106,020,046,20001106,4.877463184080000,1.188759269980000
6,p021_r045_l7_20000419,021,045,20000419,1.125668227690000,0.017398346289700
7,p018_r047_l7_20000329,018,047,20000329,4.583651850400000,0.582297166753000
8,p019_r046_l7_20000421,019,046,20000421,4.642304006360000,0.769637743660000
9,p019_r047_l7_20000421,019,047,20000421,7.403608853130000,2.248223803380000
10,p019_r048_l7_20020918,019,048,20020918,7.775749656930000,2.343914914180000
11,p020_r046_l7_20001106,020,046,20001106,4.073016638080000,0.600033344623000
12,p020_r047_l7_20000327,020,047,20000327,5.768397007150000,1.336248242910000
13,p020_r048_l7_20000327,020,048,20000327,4.367436721220000,0.791748662646000
14,p020_r046_l7_20001106,020,046,20001106,2.849946719410000,0.290468406231000
15,p021_r045_l7_20000419,021,045,20000419,2.558894147860000,0.340021887372000
16,p021_r046_l7_20010406,021,046,20010406,3.057411214830000,0.463697260428000
17,p020_r046_l7_20001106,020,046,20001106,1.570859702750000,0.123008396648000
18,p020_r047_l7_20000327,020,047,20000327,4.725892667260000,0.922794391957000
19,p020_r048_l7_20000327,020,048,20000327,5.494704749190000,1.465121606960000
20,p020_r049_l7_20000123,020,049,20000123,6.355158019460000,1.783330817880000
21,p021_r046_l7_20010406,021,046,20010406,2.442924729070000,0.290837598901000
22,p021_r047_l7_20010116,021,047,20010116,6.205577861820000,1.614899971980000
23,p021_r048_l7_20000403,021,048,20000403,7.264393358990000,2.134992356510000
24,p021_r049_l7_20000419,021,049,20000419,7.450540282320000,2.256348268520000
25,p021_r050_l7_20000215,021,050,20000215,3.739360848310000,0.324250070996000
26,p022_r047_l7_20010328,022,047,20010328,5.294891723380000,1.022386683870000
27,p022_r048_l7_20010328,022,048,20010328,7.267510512780000,2.422839772820000
28,p022_r049_l7_19991204,022,049,19991204,6.756550524990000,1.888214035550000
29,p023_r047_l7_20000401,023,047,20000401,4.656330595400000,0.671144760903000
30,p023_r048_l7_20010404,023,048,20010404,6.365680519110000,2.210539150410000
31,p023_r049_l7_19991024,023,049,19991024,5.151953459510000,0.930771107448000
32,p024_r047_l7_20000424,024,047,20000424,4.167564224870000,0.729556485258000
33,p024_r048_l7_20000424,024,048,20000424,3.998661682020000,0.524270356413000
34,p024_r049_l7_20000408,024,049,20000408,1.860018970310000,0.081961250612100
35,p021_r050_l7_20000215,021,050,20000215,4.616048944130000,0.949795349644000
36,p026_r042_l7_20021122,026,042,20021122,4.814431936220000,1.302684069790000
37,p026_r043_l7_20001218,026,043,20001218,2.502583865850000,0.279192054544000
38,p027_r041_l7_19991020,027,041,19991020,6.273198239800000,2.115146529160000
39,p027_r042_l7_19991020,027,042,19991020,6.283881857200000,2.192643993500000
40,p027_r043_l7_20011126,027,043,20011126,4.058407082190000,0.587828653112000
41,p028_r040_l7_20000404,028,040,20000404,6.078466310890000,2.113091131040000
42,p028_r041_l7_20000404,028,041,20000404,6.350972488000000,2.304461950300000
43,p028_r042_l7_19991128,028,042,19991128,5.789727295710000,1.848238686260000
44,p028_r043_l7_20011101,028,043,20011101,3.949855503050000,0.547385693557000
45,p029_r039_l7_20010516,029,039,20010516,4.689356070080000,0.885726268678000
46,p029_r040_l7_20001207,029,040,20001207,6.091606410500000,2.200392451170000
47,p029_r041_l7_20000918,029,041,20000918,5.795875399770000,1.778962001320000
48,p029_r042_l7_20001004,029,042,20001004,4.649893300530000,1.135179478750000
49,p029_r043_l7_20011023,029,043,20011023,1.417917187070000,0.122603362237000
50,p025_r045_l7_20000906,025,045,20000906,3.906905838380000,0.450892082572000
51,p025_r046_l7_20000906,025,046,20000906,5.088254747980000,1.124704116660000
52,p026_r043_l7_20001218,026,043,20001218,4.089105117860000,0.967717967267000
53,p026_r044_l7_20001218,026,044,20001218,6.170680596760000,1.757612105080000
54,p026_r045_l7_20011018,026,045,20011018,7.162787153670000,2.236880374930000
